Quarter,Total Number of Cases Accepted,Adult,Juvenile,District
2001 Q1,1,0,1,07
2001 Q2,0,0,0,07
2001 Q3,0,0,0,07
2001 Q4,0,0,0,07
2002 Q1,0,0,0,07
2002 Q2,0,0,0,07
2002 Q3,0,0,0,07
2002 Q4,0,0,0,07
2003 Q1,0,0,0,07
2003 Q2,0,0,0,07
2003 Q3,0,0,0,07
2003 Q4,0,0,0,07
2004 Q1,0,0,0,07
2004 Q2,0,0,0,07
2004 Q3,0,0,0,07
2004 Q4,0,0,0,07
2005 Q1,0,0,0,07
2005 Q2,0,0,0,07
2005 Q3,0,0,0,07
2005 Q4,0,0,0,07
2006 Q1,0,0,0,07
2006 Q2,0,0,0,07
2006 Q3,0,0,0,07
2006 Q4,0,0,0,07
2007 Q1,0,0,0,07
2007 Q2,0,0,0,07
2007 Q3,0,0,0,07
2007 Q4,0,0,0,07
2008 Q1,0,0,0,07
2008 Q2,0,0,0,07
2008 Q3,0,0,0,07
2008 Q4,0,0,0,07
2009 Q1,0,0,0,07
2009 Q2,0,0,0,07
2009 Q3,0,0,0,07
2009 Q4,0,0,0,07
2010 Q1,0,0,0,07
2010 Q2,0,0,0,07
2010 Q3,0,0,0,07
2010 Q4,0,0,0,07
2011 Q1,0,0,0,07
2011 Q2,0,0,0,07
2011 Q3,0,0,0,07
2011 Q4,0,0,0,07
2012 Q1,0,0,0,07
2012 Q2,0,0,0,07
2012 Q3,0,0,0,07
2012 Q4,0,0,0,07
2013 Q1,0,0,0,07
2013 Q2,0,0,0,07
2013 Q3,0,0,0,07
2013 Q4,0,0,0,07
2014 Q1,0,0,0,07
2014 Q2,0,0,0,07
2014 Q3,0,0,0,07
2014 Q4,0,0,0,07
2015 Q1,0,0,0,07
2015 Q2,0,0,0,07
2015 Q3,0,0,0,07
2015 Q4,0,0,0,07
2016 Q1,0,0,0,07
2016 Q2,0,0,0,07
2016 Q3,0,0,0,07
2016 Q4,0,0,0,07
2017 Q1,0,0,0,07
2017 Q2,0,0,0,07
2017 Q3,0,0,0,07
2017 Q4,0,0,0,07
2018 Q1,0,0,0,07
2018 Q2,0,0,0,07
2018 Q3,0,0,0,07
2018 Q4,0,0,0,07
2019 Q1,0,0,0,07
2019 Q2,0,0,0,07
2019 Q3,0,0,0,07
2019 Q4,0,0,0,07
2020 Q1,0,0,0,07
2020 Q2,0,0,0,07
2020 Q3,31,0,31,07
2020 Q4,21,0,21,07
2021 Q1,30,0,30,07
2021 Q2,24,0,24,07
2021 Q3,14,0,14,07
2021 Q4,25,0,25,07
2022 Q1,17,0,17,07
2022 Q2,17,0,17,07
2022 Q3,19,0,19,07
2022 Q4,34,0,34,07
2023 Q1,40,0,40,07
2023 Q2,17,0,17,07
2023 Q3,15,0,15,07
2023 Q4,21,0,21,07
2024 Q1,24,0,24,07
2024 Q2,21,0,21,07
